case_id,shape,dice_pancreas,iou_pancreas,dice_tumor,iou_tumor,pred_tumor_voxels,true_tumor_voxels,has_tumor_true,has_tumor_pred
case_0015.nii,"[512, 512, 83]",0.7812151312828064,0.6409786939620972,8.012820407188315e-10,8.012820407188315e-10,0,1248,True,False
case_0017.nii,"[512, 512, 89]",0.7536781430244446,0.6047219038009644,5.120327495333754e-10,5.120327495333754e-10,73,1880,True,True
case_0018.nii,"[512, 512, 73]",0.768031656742096,0.6234183311462402,0.9012721180915833,0.8202869892120361,6811,6002,True,True
case_0020.nii,"[512, 512, 45]",0.8551313281059265,0.7469252347946167,0.7410781979560852,0.5886610150337219,2429,2839,True,True
case_0021.nii,"[512, 512, 137]",0.6603939533233643,0.49297627806663513,2.937720344764472e-10,2.937720344764472e-10,1292,2112,True,True
case_0028.nii,"[512, 512, 85]",0.6134175062179565,0.44239526987075806,0.42233583331108093,0.26769691705703735,1892,3194,True,True
case_0031.nii,"[512, 512, 96]",0.854804277420044,0.7464264035224915,7.84313725077368e-10,7.84313725077368e-10,0,1275,True,False
case_0034.nii,"[512, 512, 93]",0.887880265712738,0.798367440700531,0.639552116394043,0.4701040983200073,2053,4020,True,True
case_0041.nii,"[512, 512, 37]",0.7595445513725281,0.6123110055923462,0.926479160785675,0.8630285263061523,2417,2738,True,True
case_0048.nii,"[512, 512, 82]",0.7881233096122742,0.6503329277038574,1.027749219062457e-09,1.027749219062457e-09,0,973,True,False
case_0050.nii,"[512, 512, 77]",0.6139956116676331,0.44299688935279846,1.9952114960197775e-10,1.9952114960197775e-10,0,5012,True,False
case_0051.nii,"[512, 512, 103]",0.6687518358230591,0.5023494362831116,0.7862474918365479,0.6477823257446289,17833,27046,True,True
case_0053.nii,"[512, 512, 71]",0.45453208684921265,0.29410645365715027,0.41073688864707947,0.2584448754787445,2548,9299,True,True
case_0058.nii,"[512, 512, 108]",0.8450894951820374,0.7317359447479248,0.74738609790802,0.5966611504554749,9110,14131,True,True
case_0069.nii,"[512, 512, 99]",0.8564751744270325,0.7489782571792603,7.209805530372648e-10,7.209805530372648e-10,0,1387,True,False
case_0074.nii,"[512, 512, 134]",0.885922372341156,0.7952070832252502,0.8296507596969604,0.7088915705680847,3067,3948,True,True
case_0086.nii,"[512, 512, 85]",0.7439523339271545,0.592296302318573,0.3616510033607483,0.2207411378622055,1032,3547,True,True
case_0094.nii,"[512, 512, 77]",0.8770577311515808,0.7810354828834534,0.8664901852607727,0.7644311189651489,2602,2686,True,True
case_0096.nii,"[512, 512, 90]",0.6234606504440308,0.4529188573360443,0.7461212873458862,0.5950506329536438,3867,6059,True,True
case_0100.nii,"[512, 512, 101]",0.817833423614502,0.6918089985847473,0.6670177578926086,0.5003950595855713,13407,7480,True,True
case_0101.nii,"[512, 512, 87]",0.7344561815261841,0.5803483128547668,0.40745052695274353,0.2558479607105255,379,1339,True,True
case_0110.nii,"[512, 512, 79]",0.647376298904419,0.47860783338546753,0.6661723852157593,0.4994441568851471,10723,20299,True,True
case_0111.nii,"[512, 512, 76]",0.751907229423523,0.6024450063705444,0.18709354102611542,0.10320088267326355,187,1812,True,True
case_0113.nii,"[512, 512, 95]",0.8099976778030396,0.6806690096855164,0.042236827313899994,0.021574022248387337,239,9042,True,True
case_0121.nii,"[512, 512, 89]",0.7751227021217346,0.6328166723251343,0.6070534586906433,0.4358052909374237,1689,2706,True,True
case_0128.nii,"[512, 512, 121]",0.7985535264015198,0.6646600961685181,3.875968990207923e-10,3.875968990207923e-10,0,2580,True,False
case_0129.nii,"[512, 512, 97]",0.847731351852417,0.7357063293457031,0.16489361226558685,0.08985507488250732,79,673,True,True
case_0137.nii,"[512, 512, 93]",0.7935458421707153,0.6577505469322205,0.43015286326408386,0.2740094065666199,426,1471,True,True
case_0142.nii,"[512, 512, 87]",0.7168608903884888,0.5586774349212646,2.3883447997086193e-10,2.3883447997086193e-10,454,3733,True,True
case_0148.nii,"[512, 512, 92]",0.737389862537384,0.5840202569961548,4.395604435991629e-10,4.395604435991629e-10,664,1611,True,True
case_0155.nii,"[512, 512, 123]",0.7860248684883118,0.6474801898002625,3.8358266563065513e-10,3.8358266563065513e-10,0,2607,True,False
case_0160.nii,"[512, 512, 79]",0.8403334617614746,0.7246337532997131,0.1717352420091629,0.09393346309661865,3903,3364,True,True
case_0161.nii,"[512, 512, 88]",0.7317582368850708,0.5769864320755005,2.783189512189921e-10,2.783189512189921e-10,0,3593,True,False
case_0164.nii,"[512, 512, 109]",0.7177419066429138,0.5597484111785889,0.09242718666791916,0.048452768474817276,238,4912,True,True
case_0178.nii,"[512, 512, 107]",0.7849905490875244,0.6460776925086975,1.3577731994285358e-10,1.3577731994285358e-10,133,7232,True,True
case_0179.nii,"[512, 512, 85]",0.8991103768348694,0.8167125582695007,0.6080038547515869,0.43678557872772217,1549,2599,True,True
case_0191.nii,"[512, 512, 101]",0.7722158432006836,0.628950834274292,0.776914119720459,0.6352081298828125,2914,2232,True,True
case_0194.nii,"[512, 512, 85]",0.8495262861251831,0.7384142875671387,0.12152501940727234,0.06469344347715378,336,2182,True,True
case_0198.nii,"[512, 512, 93]",0.7388737797737122,0.5858840942382812,1.1467889970973033e-09,1.1467889970973033e-09,0,872,True,False
case_0199.nii,"[512, 512, 73]",0.8160895109176636,0.6893169283866882,0.06041828170418739,0.03115016035735607,39,1252,True,False
case_0203.nii,"[512, 512, 87]",0.7348397970199585,0.5808274745941162,1.9845207421820277e-10,1.9845207421820277e-10,0,5039,True,False
case_0213.nii,"[512, 512, 89]",0.7759920358657837,0.6339762806892395,0.039054471999406815,0.019916143268346786,290,2629,True,True
case_0216.nii,"[512, 512, 79]",0.7875083684921265,0.6494958996772766,0.32886162400245667,0.1967889964580536,1035,4183,True,True
case_0222.nii,"[512, 512, 105]",0.8235443830490112,0.7000216245651245,5.720823814669984e-10,5.720823814669984e-10,0,1748,True,False
case_0224.nii,"[512, 512, 86]",0.8183915615081787,0.692608118057251,0.3606153726577759,0.2199699729681015,993,632,True,True
case_0225.nii,"[512, 512, 112]",0.8124056458473206,0.684076726436615,0.16957606375217438,0.09264305233955383,238,2569,True,True
